variable,description
ha66_5,Woman's highest educational level
ha66_6,Woman's highest educational level
ha66_7,Woman's highest educational level
ha66_8,Woman's highest educational level
ha67_1,Woman's highest year of education
ha67_2,Woman's highest year of education
ha67_3,Woman's highest year of education
ha67_4,Woman's highest year of education
ha67_5,Woman's highest year of education
ha67_6,Woman's highest year of education
ha67_7,Woman's highest year of education
ha67_8,Woman's highest year of education
ha68_1,Woman's highest educational level (for preliminary and final report)
ha68_2,Woman's highest educational level (for preliminary and final report)
ha68_3,Woman's highest educational level (for preliminary and final report)
ha68_4,Woman's highest educational level (for preliminary and final report)
ha68_5,Woman's highest educational level (for preliminary and final report)
ha68_6,Woman's highest educational level (for preliminary and final report)
ha68_7,Woman's highest educational level (for preliminary and final report)
ha68_8,Woman's highest educational level (for preliminary and final report)
ha69_1,HIV weight (6 decimals)
ha69_2,HIV weight (6 decimals)
ha69_3,HIV weight (6 decimals)
ha69_4,HIV weight (6 decimals)
ha69_5,HIV weight (6 decimals)
ha69_6,HIV weight (6 decimals)
ha69_7,HIV weight (6 decimals)
ha69_8,HIV weight (6 decimals)
ha70_1,Interviewer that took blood for HIV testing
ha70_2,Interviewer that took blood for HIV testing
ha70_3,Interviewer that took blood for HIV testing
ha70_4,Interviewer that took blood for HIV testing
ha70_5,Interviewer that took blood for HIV testing
ha70_6,Interviewer that took blood for HIV testing
ha70_7,Interviewer that took blood for HIV testing
ha70_8,Interviewer that took blood for HIV testing
hc0_01,Index to Household Schedule
hc0_02,Index to Household Schedule
hc0_03,Index to Household Schedule
hc0_04,Index to Household Schedule
hc0_05,Index to Household Schedule
hc0_06,Index to Household Schedule
hc0_07,Index to Household Schedule
hc0_08,Index to Household Schedule
hc0_09,Index to Household Schedule
hc0_10,Index to Household Schedule
hc1_01,Child's age in months
hc1_02,Child's age in months
hc1_03,Child's age in months
hc1_04,Child's age in months
hc1_05,Child's age in months
hc1_06,Child's age in months
hc1_07,Child's age in months
hc1_08,Child's age in months
hc1_09,Child's age in months
hc1_10,Child's age in months
hc2_01,Child's weight in kilograms (1 decimal)
hc2_02,Child's weight in kilograms (1 decimal)
hc2_03,Child's weight in kilograms (1 decimal)
hc2_04,Child's weight in kilograms (1 decimal)
hc2_05,Child's weight in kilograms (1 decimal)
hc2_06,Child's weight in kilograms (1 decimal)
hc2_07,Child's weight in kilograms (1 decimal)
hc2_08,Child's weight in kilograms (1 decimal)
hc2_09,Child's weight in kilograms (1 decimal)
hc2_10,Child's weight in kilograms (1 decimal)
hc3_01,Child's height in centimeters (1 decimal)
hc3_02,Child's height in centimeters (1 decimal)
hc3_03,Child's height in centimeters (1 decimal)
hc3_04,Child's height in centimeters (1 decimal)
hc3_05,Child's height in centimeters (1 decimal)
hc3_06,Child's height in centimeters (1 decimal)
hc3_07,Child's height in centimeters (1 decimal)
hc3_08,Child's height in centimeters (1 decimal)
hc3_09,Child's height in centimeters (1 decimal)
hc3_10,Child's height in centimeters (1 decimal)
hc4_01,Height/Age percentile
hc4_02,Height/Age percentile
hc4_03,Height/Age percentile
hc4_04,Height/Age percentile
hc4_05,Height/Age percentile
hc4_06,Height/Age percentile
hc4_07,Height/Age percentile
hc4_08,Height/Age percentile
hc4_09,Height/Age percentile
hc4_10,Height/Age percentile
hc5_01,Height/Age standard deviation
hc5_02,Height/Age standard deviation
hc5_03,Height/Age standard deviation
hc5_04,Height/Age standard deviation
hc5_05,Height/Age standard deviation
hc5_06,Height/Age standard deviation
hc5_07,Height/Age standard deviation
hc5_08,Height/Age standard deviation
hc5_09,Height/Age standard deviation
hc5_10,Height/Age standard deviation
hc6_01,Height/Age percent of ref. median
hc6_02,Height/Age percent of ref. median
hc6_03,Height/Age percent of ref. median
hc6_04,Height/Age percent of ref. median
hc6_05,Height/Age percent of ref. median
hc6_06,Height/Age percent of ref. median
hc6_07,Height/Age percent of ref. median
hc6_08,Height/Age percent of ref. median
hc6_09,Height/Age percent of ref. median
hc6_10,Height/Age percent of ref. median
hc7_01,Weight/Age percentile
hc7_02,Weight/Age percentile
hc7_03,Weight/Age percentile
hc7_04,Weight/Age percentile
hc7_05,Weight/Age percentile
hc7_06,Weight/Age percentile
hc7_07,Weight/Age percentile
hc7_08,Weight/Age percentile
hc7_09,Weight/Age percentile
hc7_10,Weight/Age percentile
hc8_01,Weight/Age standard deviation
hc8_02,Weight/Age standard deviation
hc8_03,Weight/Age standard deviation
hc8_04,Weight/Age standard deviation
hc8_05,Weight/Age standard deviation
hc8_06,Weight/Age standard deviation
hc8_07,Weight/Age standard deviation
hc8_08,Weight/Age standard deviation
hc8_09,Weight/Age standard deviation
hc8_10,Weight/Age standard deviation
hc9_01,Weight/Age percent of ref. median
hc9_02,Weight/Age percent of ref. median
hc9_03,Weight/Age percent of ref. median
hc9_04,Weight/Age percent of ref. median
hc9_05,Weight/Age percent of ref. median
hc9_06,Weight/Age percent of ref. median
hc9_07,Weight/Age percent of ref. median
hc9_08,Weight/Age percent of ref. median
hc9_09,Weight/Age percent of ref. median
hc9_10,Weight/Age percent of ref. median
hc10_01,Weight/Height percentile
hc10_02,Weight/Height percentile
hc10_03,Weight/Height percentile
hc10_04,Weight/Height percentile
hc10_05,Weight/Height percentile
hc10_06,Weight/Height percentile
hc10_07,Weight/Height percentile
hc10_08,Weight/Height percentile
hc10_09,Weight/Height percentile
hc10_10,Weight/Height percentile
hc11_01,Weight/Height standard deviation
hc11_02,Weight/Height standard deviation
hc11_03,Weight/Height standard deviation
hc11_04,Weight/Height standard deviation
hc11_05,Weight/Height standard deviation
hc11_06,Weight/Height standard deviation
hc11_07,Weight/Height standard deviation
hc11_08,Weight/Height standard deviation
hc11_09,Weight/Height standard deviation
hc11_10,Weight/Height standard deviation
hc12_01,Weight/Height percent of ref. median
hc12_02,Weight/Height percent of ref. median
hc12_03,Weight/Height percent of ref. median
hc12_04,Weight/Height percent of ref. median
hc12_05,Weight/Height percent of ref. median
hc12_06,Weight/Height percent of ref. median
hc12_07,Weight/Height percent of ref. median
hc12_08,Weight/Height percent of ref. median
hc12_09,Weight/Height percent of ref. median
hc12_10,Weight/Height percent of ref. median
hc13_01,Result of measurement - height/weight
hc13_02,Result of measurement - height/weight
hc13_03,Result of measurement - height/weight
hc13_04,Result of measurement - height/weight
hc13_05,Result of measurement - height/weight
hc13_06,Result of measurement - height/weight
hc13_07,Result of measurement - height/weight
hc13_08,Result of measurement - height/weight
hc13_09,Result of measurement - height/weight
hc13_10,Result of measurement - height/weight
hc15_01,Height: lying or standing
hc15_02,Height: lying or standing
hc15_03,Height: lying or standing
hc15_04,Height: lying or standing
hc15_05,Height: lying or standing
hc15_06,Height: lying or standing
hc15_07,Height: lying or standing
hc15_08,Height: lying or standing
hc15_09,Height: lying or standing
hc15_10,Height: lying or standing
hc16_01,Day of birth
hc16_02,Day of birth
hc16_03,Day of birth
hc16_04,Day of birth
hc16_05,Day of birth
hc16_06,Day of birth
hc16_07,Day of birth
hc16_08,Day of birth
hc16_09,Day of birth
hc16_10,Day of birth
hc17_01,Date measured (day)
hc17_02,Date measured (day)
hc17_03,Date measured (day)
hc17_04,Date measured (day)
hc17_05,Date measured (day)
hc17_06,Date measured (day)
hc17_07,Date measured (day)
hc17_08,Date measured (day)
hc17_09,Date measured (day)
hc17_10,Date measured (day)
hc18_01,Date measured (month)
hc18_02,Date measured (month)
hc18_03,Date measured (month)
hc18_04,Date measured (month)
hc18_05,Date measured (month)
hc18_06,Date measured (month)
hc18_07,Date measured (month)
hc18_08,Date measured (month)
hc18_09,Date measured (month)
hc18_10,Date measured (month)
hc19_01,Date measured (year)
hc19_02,Date measured (year)
hc19_03,Date measured (year)
hc19_04,Date measured (year)
hc19_05,Date measured (year)
hc19_06,Date measured (year)
hc19_07,Date measured (year)
hc19_08,Date measured (year)
hc19_09,Date measured (year)
hc19_10,Date measured (year)
hc27_01,Sex
hc27_02,Sex
hc27_03,Sex
hc27_04,Sex
hc27_05,Sex
hc27_06,Sex
hc27_07,Sex
hc27_08,Sex
hc27_09,Sex
hc27_10,Sex
hc30_01,Month of birth
hc30_02,Month of birth
hc30_03,Month of birth
hc30_04,Month of birth
hc30_05,Month of birth
hc30_06,Month of birth
hc30_07,Month of birth
hc30_08,Month of birth
hc30_09,Month of birth
hc30_10,Month of birth
hc31_01,Year of birth
hc31_02,Year of birth
hc31_03,Year of birth
hc31_04,Year of birth
hc31_05,Year of birth
hc31_06,Year of birth
hc31_07,Year of birth
hc31_08,Year of birth
hc31_09,Year of birth
hc31_10,Year of birth
hc32_01,Date of birth (CMC)
hc32_02,Date of birth (CMC)
hc32_03,Date of birth (CMC)
hc32_04,Date of birth (CMC)
hc32_05,Date of birth (CMC)
hc32_06,Date of birth (CMC)
hc32_07,Date of birth (CMC)
hc32_08,Date of birth (CMC)
hc32_09,Date of birth (CMC)
hc32_10,Date of birth (CMC)
hc33_01,Completeness of HC32 information
hc33_02,Completeness of HC32 information
hc33_03,Completeness of HC32 information
hc33_04,Completeness of HC32 information
hc33_05,Completeness of HC32 information
hc33_06,Completeness of HC32 information
hc33_07,Completeness of HC32 information
hc33_08,Completeness of HC32 information
hc33_09,Completeness of HC32 information
hc33_10,Completeness of HC32 information
hc51_01,Line number of parent/caretaker
hc51_02,Line number of parent/caretaker
hc51_03,Line number of parent/caretaker
hc51_04,Line number of parent/caretaker
hc51_05,Line number of parent/caretaker
hc51_06,Line number of parent/caretaker
hc51_07,Line number of parent/caretaker
hc51_08,Line number of parent/caretaker
hc51_09,Line number of parent/caretaker
hc51_10,Line number of parent/caretaker
hc52_01,Read consent statement - hemoglobin
hc52_02,Read consent statement - hemoglobin
hc52_03,Read consent statement - hemoglobin
hc52_04,Read consent statement - hemoglobin
hc52_05,Read consent statement - hemoglobin
hc52_06,Read consent statement - hemoglobin
hc52_07,Read consent statement - hemoglobin
hc52_08,Read consent statement - hemoglobin
hc52_09,Read consent statement - hemoglobin
hc52_10,Read consent statement - hemoglobin
hc53_01,Hemoglobin level (g/dl - 1 decimal)
hc53_02,Hemoglobin level (g/dl - 1 decimal)
hc53_03,Hemoglobin level (g/dl - 1 decimal)
hc53_04,Hemoglobin level (g/dl - 1 decimal)
hc53_05,Hemoglobin level (g/dl - 1 decimal)
hc53_06,Hemoglobin level (g/dl - 1 decimal)
hc53_07,Hemoglobin level (g/dl - 1 decimal)
hc53_08,Hemoglobin level (g/dl - 1 decimal)
hc53_09,Hemoglobin level (g/dl - 1 decimal)
hc53_10,Hemoglobin level (g/dl - 1 decimal)
hc55_01,Result of measurement - hemoglobin
hc55_02,Result of measurement - hemoglobin
hc55_03,Result of measurement - hemoglobin
hc55_04,Result of measurement - hemoglobin
hc55_05,Result of measurement - hemoglobin
hc55_06,Result of measurement - hemoglobin
hc55_07,Result of measurement - hemoglobin
hc55_08,Result of measurement - hemoglobin
hc55_09,Result of measurement - hemoglobin
hc55_10,Result of measurement - hemoglobin
hc56_01,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_02,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_03,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_04,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_05,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_06,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_07,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_08,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_09,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc56_10,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc57_01,Anemia level
hc57_02,Anemia level
hc57_03,Anemia level
hc57_04,Anemia level
hc57_05,Anemia level
hc57_06,Anemia level
hc57_07,Anemia level
hc57_08,Anemia level
hc57_09,Anemia level
hc57_10,Anemia level
hc58_01,NA - Agrees to referral - anemia
hc58_02,NA - Agrees to referral - anemia
hc58_03,NA - Agrees to referral - anemia
hc58_04,NA - Agrees to referral - anemia
hc58_05,NA - Agrees to referral - anemia
hc58_06,NA - Agrees to referral - anemia
hc58_07,NA - Agrees to referral - anemia
hc58_08,NA - Agrees to referral - anemia
hc58_09,NA - Agrees to referral - anemia
hc58_10,NA - Agrees to referral - anemia
hc60_01,Mother's line number (woman's questionnaire)
hc60_02,Mother's line number (woman's questionnaire)
hc60_03,Mother's line number (woman's questionnaire)
hc60_04,Mother's line number (woman's questionnaire)
hc60_05,Mother's line number (woman's questionnaire)
hc60_06,Mother's line number (woman's questionnaire)
hc60_07,Mother's line number (woman's questionnaire)
hc60_08,Mother's line number (woman's questionnaire)
hc60_09,Mother's line number (woman's questionnaire)
hc60_10,Mother's line number (woman's questionnaire)
hc61_01,Mother's highest educational level
hc61_02,Mother's highest educational level
hc61_03,Mother's highest educational level
hc61_04,Mother's highest educational level
hc61_05,Mother's highest educational level
hc61_06,Mother's highest educational level
hc61_07,Mother's highest educational level
hc61_08,Mother's highest educational level
hc61_09,Mother's highest educational level
hc61_10,Mother's highest educational level
hc62_01,Mother's highest year of education
hc62_02,Mother's highest year of education
hc62_03,Mother's highest year of education
hc62_04,Mother's highest year of education
hc62_05,Mother's highest year of education
hc62_06,Mother's highest year of education
hc62_07,Mother's highest year of education
hc62_08,Mother's highest year of education
hc62_09,Mother's highest year of education
hc62_10,Mother's highest year of education
hc63_01,Preceding birth interval (months)
hc63_02,Preceding birth interval (months)
hc63_03,Preceding birth interval (months)
hc63_04,Preceding birth interval (months)
hc63_05,Preceding birth interval (months)
hc63_06,Preceding birth interval (months)
hc63_07,Preceding birth interval (months)
hc63_08,Preceding birth interval (months)
hc63_09,Preceding birth interval (months)
hc63_10,Preceding birth interval (months)
hc64_01,Birth order number
hc64_02,Birth order number
hc64_03,Birth order number
hc64_04,Birth order number
hc64_05,Birth order number
hc64_06,Birth order number
hc64_07,Birth order number
hc64_08,Birth order number
hc64_09,Birth order number
hc64_10,Birth order number
hc68_01,Mother's highest educational level (for preliminary and final report)
hc68_02,Mother's highest educational level (for preliminary and final report)
hc68_03,Mother's highest educational level (for preliminary and final report)
hc68_04,Mother's highest educational level (for preliminary and final report)
hc68_05,Mother's highest educational level (for preliminary and final report)
hc68_06,Mother's highest educational level (for preliminary and final report)
hc68_07,Mother's highest educational level (for preliminary and final report)
hc68_08,Mother's highest educational level (for preliminary and final report)
hc68_09,Mother's highest educational level (for preliminary and final report)
hc68_10,Mother's highest educational level (for preliminary and final report)
hc70_01,Height/Age standard deviation (new WHO)
hc70_02,Height/Age standard deviation (new WHO)
hc70_03,Height/Age standard deviation (new WHO)
hc70_04,Height/Age standard deviation (new WHO)
hc70_05,Height/Age standard deviation (new WHO)
hc70_06,Height/Age standard deviation (new WHO)
hc70_07,Height/Age standard deviation (new WHO)
hc70_08,Height/Age standard deviation (new WHO)
hc70_09,Height/Age standard deviation (new WHO)
hc70_10,Height/Age standard deviation (new WHO)
hc71_01,Weight/Age standard deviation (new WHO)
hc71_02,Weight/Age standard deviation (new WHO)
hc71_03,Weight/Age standard deviation (new WHO)
hc71_04,Weight/Age standard deviation (new WHO)
hc71_05,Weight/Age standard deviation (new WHO)
hc71_06,Weight/Age standard deviation (new WHO)
hc71_07,Weight/Age standard deviation (new WHO)
hc71_08,Weight/Age standard deviation (new WHO)
hc71_09,Weight/Age standard deviation (new WHO)
hc71_10,Weight/Age standard deviation (new WHO)
hc72_01,Weight/Height standard deviation (new WHO)
hc72_02,Weight/Height standard deviation (new WHO)
hc72_03,Weight/Height standard deviation (new WHO)
hc72_04,Weight/Height standard deviation (new WHO)
hc72_05,Weight/Height standard deviation (new WHO)
hc72_06,Weight/Height standard deviation (new WHO)
hc72_07,Weight/Height standard deviation (new WHO)
hc72_08,Weight/Height standard deviation (new WHO)
hc72_09,Weight/Height standard deviation (new WHO)
hc72_10,Weight/Height standard deviation (new WHO)
hc73_01,BMI standard deviation (new WHO)
hc73_02,BMI standard deviation (new WHO)
hc73_03,BMI standard deviation (new WHO)
hc73_04,BMI standard deviation (new WHO)
hc73_05,BMI standard deviation (new WHO)
hc73_06,BMI standard deviation (new WHO)
hc73_07,BMI standard deviation (new WHO)
hc73_08,BMI standard deviation (new WHO)
hc73_09,BMI standard deviation (new WHO)
hc73_10,BMI standard deviation (new WHO)
hb0_1,Index to Household Schedule
hb0_2,Index to Household Schedule
hb0_3,Index to Household Schedule
hb0_4,Index to Household Schedule
hb0_5,Index to Household Schedule
hb0_6,Index to Household Schedule
hb0_7,Index to Household Schedule
hb0_8,Index to Household Schedule
hb1_1,Man's age in years
hb1_2,Man's age in years
hb1_3,Man's age in years
hb1_4,Man's age in years
hb1_5,Man's age in years
hb1_6,Man's age in years
hb1_7,Man's age in years
hb1_8,Man's age in years
hb2_1,NA - Man's weight in kilograms (1 decimal)
hb2_2,NA - Man's weight in kilograms (1 decimal)
hb2_3,NA - Man's weight in kilograms (1 decimal)
hb2_4,NA - Man's weight in kilograms (1 decimal)
hb2_5,NA - Man's weight in kilograms (1 decimal)
hb2_6,NA - Man's weight in kilograms (1 decimal)
hb2_7,NA - Man's weight in kilograms (1 decimal)
hb2_8,NA - Man's weight in kilograms (1 decimal)
hb3_1,NA - Man's height in centimeters (1 decimal)
hb3_2,NA - Man's height in centimeters (1 decimal)
hb3_3,NA - Man's height in centimeters (1 decimal)
hb3_4,NA - Man's height in centimeters (1 decimal)
hb3_5,NA - Man's height in centimeters (1 decimal)
hb3_6,NA - Man's height in centimeters (1 decimal)
hb3_7,NA - Man's height in centimeters (1 decimal)
hb3_8,NA - Man's height in centimeters (1 decimal)
hb4_1,NA - Height/Age percentile
hb4_2,NA - Height/Age percentile
hb4_3,NA - Height/Age percentile
hb4_4,NA - Height/Age percentile
hb4_5,NA - Height/Age percentile
hb4_6,NA - Height/Age percentile
hb4_7,NA - Height/Age percentile
hb4_8,NA - Height/Age percentile
hb5_1,Height/Age standard deviation
hb5_2,Height/Age standard deviation
hb5_3,Height/Age standard deviation
hb5_4,Height/Age standard deviation
hb5_5,Height/Age standard deviation
hb5_6,Height/Age standard deviation
hb5_7,Height/Age standard deviation
hb5_8,Height/Age standard deviation
hb6_1,NA - Height/Age percent ref. median
hb6_2,NA - Height/Age percent ref. median
hb6_3,NA - Height/Age percent ref. median
hb6_4,NA - Height/Age percent ref. median
hb6_5,NA - Height/Age percent ref. median
hb6_6,NA - Height/Age percent ref. median
hb6_7,NA - Height/Age percent ref. median
hb6_8,NA - Height/Age percent ref. median
hb11_1,Weight/Height standard deviation (DHS)
hb11_2,Weight/Height standard deviation (DHS)
hb11_3,Weight/Height standard deviation (DHS)
hb11_4,Weight/Height standard deviation (DHS)
hb11_5,Weight/Height standard deviation (DHS)
hb11_6,Weight/Height standard deviation (DHS)
hb11_7,Weight/Height standard deviation (DHS)
hb11_8,Weight/Height standard deviation (DHS)
hb12_1,NA - Weight/Height percent ref. median (DHS)
hb12_2,NA - Weight/Height percent ref. median (DHS)
hb12_3,NA - Weight/Height percent ref. median (DHS)
hb12_4,NA - Weight/Height percent ref. median (DHS)
hb12_5,NA - Weight/Height percent ref. median (DHS)
hb12_6,NA - Weight/Height percent ref. median (DHS)
hb12_7,NA - Weight/Height percent ref. median (DHS)
hb12_8,NA - Weight/Height percent ref. median (DHS)
hb12a_1,NA - Weight/Height percent ref. median (Fog)
hb12a_2,NA - Weight/Height percent ref. median (Fog)
hb12a_3,NA - Weight/Height percent ref. median (Fog)
hb12a_4,NA - Weight/Height percent ref. median (Fog)
hb12a_5,NA - Weight/Height percent ref. median (Fog)
hb12a_6,NA - Weight/Height percent ref. median (Fog)
hb12a_7,NA - Weight/Height percent ref. median (Fog)
hb12a_8,NA - Weight/Height percent ref. median (Fog)
hb12b_1,NA - Weight/Height percent ref. median (WHO)
hb12b_2,NA - Weight/Height percent ref. median (WHO)
hb12b_3,NA - Weight/Height percent ref. median (WHO)
hb12b_4,NA - Weight/Height percent ref. median (WHO)
hb12b_5,NA - Weight/Height percent ref. median (WHO)
hb12b_6,NA - Weight/Height percent ref. median (WHO)
hb12b_7,NA - Weight/Height percent ref. median (WHO)
hb12b_8,NA - Weight/Height percent ref. median (WHO)
hb13_1,NA - Result of measurement - height/weight
hb13_2,NA - Result of measurement - height/weight
hb13_3,NA - Result of measurement - height/weight
hb13_4,NA - Result of measurement - height/weight
hb13_5,NA - Result of measurement - height/weight
hb13_6,NA - Result of measurement - height/weight
hb13_7,NA - Result of measurement - height/weight
hb13_8,NA - Result of measurement - height/weight
hb32_1,Date of birth (CMC)
hb32_2,Date of birth (CMC)
hb32_3,Date of birth (CMC)
hb32_4,Date of birth (CMC)
hb32_5,Date of birth (CMC)
hb32_6,Date of birth (CMC)
hb32_7,Date of birth (CMC)
hb32_8,Date of birth (CMC)
hb33_1,Completeness of HB32 information
hb33_2,Completeness of HB32 information
hb33_3,Completeness of HB32 information
hb33_4,Completeness of HB32 information
hb33_5,Completeness of HB32 information
hb33_6,Completeness of HB32 information
hb33_7,Completeness of HB32 information
hb33_8,Completeness of HB32 information
hb35_1,Smoking (cigarettes in last 24 hours)
hb35_2,Smoking (cigarettes in last 24 hours)
hb35_3,Smoking (cigarettes in last 24 hours)
hb35_4,Smoking (cigarettes in last 24 hours)
hb35_5,Smoking (cigarettes in last 24 hours)
hb35_6,Smoking (cigarettes in last 24 hours)
hb35_7,Smoking (cigarettes in last 24 hours)
hb35_8,Smoking (cigarettes in last 24 hours)
hb40_1,NA - Body Mass Index
hb40_2,NA - Body Mass Index
hb40_3,NA - Body Mass Index
hb40_4,NA - Body Mass Index
hb40_5,NA - Body Mass Index
hb40_6,NA - Body Mass Index
hb40_7,NA - Body Mass Index
hb40_8,NA - Body Mass Index
hb41_1,NA - Rohrer's index
hb41_2,NA - Rohrer's index
hb41_3,NA - Rohrer's index
hb41_4,NA - Rohrer's index
hb41_5,NA - Rohrer's index
hb41_6,NA - Rohrer's index
hb41_7,NA - Rohrer's index
hb41_8,NA - Rohrer's index
hb50_1,Under age 18
hb50_2,Under age 18
hb50_3,Under age 18
hb50_4,Under age 18
hb50_5,Under age 18
hb50_6,Under age 18
hb50_7,Under age 18
hb50_8,Under age 18
hb51_1,Line number of parent/caretaker
hb51_2,Line number of parent/caretaker
hb51_3,Line number of parent/caretaker
hb51_4,Line number of parent/caretaker
hb51_5,Line number of parent/caretaker
hb51_6,Line number of parent/caretaker
hb51_7,Line number of parent/caretaker
hb51_8,Line number of parent/caretaker
hb52_1,Read consent statement - hemoglobin
hb52_2,Read consent statement - hemoglobin
hb52_3,Read consent statement - hemoglobin
hb52_4,Read consent statement - hemoglobin
hb52_5,Read consent statement - hemoglobin
hb52_6,Read consent statement - hemoglobin
hb52_7,Read consent statement - hemoglobin
hb52_8,Read consent statement - hemoglobin
hb53_1,Hemoglobin level (g/dl - 1 decimal)
hb53_2,Hemoglobin level (g/dl - 1 decimal)
hb53_3,Hemoglobin level (g/dl - 1 decimal)
hb53_4,Hemoglobin level (g/dl - 1 decimal)
hb53_5,Hemoglobin level (g/dl - 1 decimal)
hb53_6,Hemoglobin level (g/dl - 1 decimal)
hb53_7,Hemoglobin level (g/dl - 1 decimal)
hb53_8,Hemoglobin level (g/dl - 1 decimal)
hb55_1,Result of measurement - hemoglobin
hb55_2,Result of measurement - hemoglobin
hb55_3,Result of measurement - hemoglobin
hb55_4,Result of measurement - hemoglobin
hb55_5,Result of measurement - hemoglobin
hb55_6,Result of measurement - hemoglobin
hb55_7,Result of measurement - hemoglobin
hb55_8,Result of measurement - hemoglobin
hb56_1,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_2,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_3,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_4,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_5,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_6,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_7,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb56_8,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb57_1,Anemia level
hb57_2,Anemia level
hb57_3,Anemia level
hb57_4,Anemia level
hb57_5,Anemia level
hb57_6,Anemia level
hb57_7,Anemia level
hb57_8,Anemia level
hb58_1,NA - Agrees to referral - anemia
hb58_2,NA - Agrees to referral - anemia
hb58_3,NA - Agrees to referral - anemia
hb58_4,NA - Agrees to referral - anemia
hb58_5,NA - Agrees to referral - anemia
hb58_6,NA - Agrees to referral - anemia
hb58_7,NA - Agrees to referral - anemia
hb58_8,NA - Agrees to referral - anemia
hb60_1,Marital status
hb60_2,Marital status
hb60_3,Marital status
hb60_4,Marital status
hb60_5,Marital status
hb60_6,Marital status
hb60_7,Marital status
hb60_8,Marital status
hb61_1,Read consent statement - HIV
hb61_2,Read consent statement - HIV
hb61_3,Read consent statement - HIV
hb61_4,Read consent statement - HIV
hb61_5,Read consent statement - HIV
hb61_6,Read consent statement - HIV
hb61_7,Read consent statement - HIV
hb61_8,Read consent statement - HIV
hb62_1,Bar code for HIV blood sample
hb62_2,Bar code for HIV blood sample
hb62_3,Bar code for HIV blood sample
hb62_4,Bar code for HIV blood sample
hb62_5,Bar code for HIV blood sample
hb62_6,Bar code for HIV blood sample
hb62_7,Bar code for HIV blood sample
hb62_8,Bar code for HIV blood sample
hb63_1,Result of measurement - HIV
hb63_2,Result of measurement - HIV
hb63_3,Result of measurement - HIV
hb63_4,Result of measurement - HIV
hb63_5,Result of measurement - HIV
hb63_6,Result of measurement - HIV
hb63_7,Result of measurement - HIV
hb63_8,Result of measurement - HIV
hb64_1,Consent for additional tests
hb64_2,Consent for additional tests
hb64_3,Consent for additional tests
hb64_4,Consent for additional tests
hb64_5,Consent for additional tests
hb64_6,Consent for additional tests
hb64_7,Consent for additional tests
hb64_8,Consent for additional tests
hb65_1,Result of man's individual interview
hb65_2,Result of man's individual interview
hb65_3,Result of man's individual interview
hb65_4,Result of man's individual interview
hb65_5,Result of man's individual interview
hb65_6,Result of man's individual interview
hb65_7,Result of man's individual interview
hb65_8,Result of man's individual interview
hb66_1,Man's highest educational level
hb66_2,Man's highest educational level
hb66_3,Man's highest educational level
hb66_4,Man's highest educational level
hb66_5,Man's highest educational level
hb66_6,Man's highest educational level
hb66_7,Man's highest educational level
hb66_8,Man's highest educational level
hb67_1,Man's highest year of education
hb67_2,Man's highest year of education
hb67_3,Man's highest year of education
hb67_4,Man's highest year of education
hb67_5,Man's highest year of education
hb67_6,Man's highest year of education
hb67_7,Man's highest year of education
hb67_8,Man's highest year of education
hb68_1,Man's highest educational level (for preliminary and final report)
hb68_2,Man's highest educational level (for preliminary and final report)
hb68_3,Man's highest educational level (for preliminary and final report)
hb68_4,Man's highest educational level (for preliminary and final report)
hb68_5,Man's highest educational level (for preliminary and final report)
hb68_6,Man's highest educational level (for preliminary and final report)
hb68_7,Man's highest educational level (for preliminary and final report)
hb68_8,Man's highest educational level (for preliminary and final report)
hb69_1,HIV weight (6 decimals)
hb69_2,HIV weight (6 decimals)
hb69_3,HIV weight (6 decimals)
hb69_4,HIV weight (6 decimals)
hb69_5,HIV weight (6 decimals)
hb69_6,HIV weight (6 decimals)
hb69_7,HIV weight (6 decimals)
hb69_8,HIV weight (6 decimals)
hb70_1,Interviewer that took blood for HIV testing
hb70_2,Interviewer that took blood for HIV testing
hb70_3,Interviewer that took blood for HIV testing
hb70_4,Interviewer that took blood for HIV testing
hb70_5,Interviewer that took blood for HIV testing
hb70_6,Interviewer that took blood for HIV testing
hb70_7,Interviewer that took blood for HIV testing
hb70_8,Interviewer that took blood for HIV testing
hmlidx_1,Mosquito Bed Net Designation Number
